SAP2000 v14.0.0    3/26/21 14:49:30

Table:  Element Forces - Frames

       Frame     Station  OutputCase    CaseType           P          V2          V3           T          M2          M3   FrameElem ElemStation
                      mm                                   N           N           N        N-mm        N-mm        N-mm                      mm

          18     2750.00        DEAD   LinStatic        0.00    -2053.00        0.00  -1.765E-04        0.00 11925039.28        18-1     2750.00
          18     3250.00        DEAD   LinStatic        0.00     2053.00        0.00  -1.765E-04        0.00 11925039.29        18-1     3250.00
          18     3750.00        DEAD   LinStatic        0.00     6159.00        0.00  -1.765E-04        0.00  9872039.33        18-1     3750.00
          18     4250.00        DEAD   LinStatic        0.00    10265.00        0.00  -1.765E-04        0.00  5766039.37        18-1     4250.00
          18     4750.00        DEAD   LinStatic        0.00    14371.00        0.00  -1.765E-04        0.00  -392960.56        18-1     4750.00
          18     5250.00        DEAD   LinStatic        0.00    18279.27        0.00  -1.765E-04        0.00 -8588483.37        18-1     5250.00
          18     5750.00        DEAD   LinStatic        0.00    20803.47        0.00  -1.765E-04        0.00 -18425079.0        18-1     5750.00
          18      250.00        LIVE   LinStatic        0.00    -4937.50        0.00  -5.578E-05        0.00 -4461805.89        18-1      250.00
          18      750.00        LIVE   LinStatic        0.00    -4437.50        0.00  -5.578E-05        0.00 -2097222.63        18-1      750.00
          18     1250.00        LIVE   LinStatic        0.00    -3500.00        0.00  -5.578E-05        0.00  -102430.97        18-1     1250.00
          18     1750.00        LIVE   LinStatic        0.00    -2500.00        0.00  -5.578E-05        0.00  1397569.04        18-1     1750.00
          18     2250.00        LIVE   LinStatic        0.00    -1500.00        0.00  -5.578E-05        0.00  2397569.04        18-1     2250.00
          18     2750.00        LIVE   LinStatic        0.00     -500.00        0.00  -5.578E-05        0.00  2897569.05        18-1     2750.00
          18     3250.00        LIVE   LinStatic        0.00      500.00        0.00  -5.578E-05        0.00  2897569.05        18-1     3250.00
          18     3750.00        LIVE   LinStatic        0.00     1500.00        0.00  -5.578E-05        0.00  2397569.06        18-1     3750.00
          18     4250.00        LIVE   LinStatic        0.00     2500.00        0.00  -5.578E-05        0.00  1397569.06        18-1     4250.00
          18     4750.00        LIVE   LinStatic        0.00     3500.00        0.00  -5.578E-05        0.00  -102430.93        18-1     4750.00
          18     5250.00        LIVE   LinStatic        0.00     4437.50        0.00  -5.578E-05        0.00 -2097222.59        18-1     5250.00
          18     5750.00        LIVE   LinStatic        0.00     4937.50        0.00  -5.578E-05        0.00 -4461805.87        18-1     5750.00
          18      250.00       WINDX   LinStatic        0.00   7.607E-09  -1.819E-12   9.728E-07   4.547E-10   2.092E-05        18-1      250.00
          18      750.00       WINDX   LinStatic        0.00   7.607E-09  -1.819E-12   9.728E-07   1.364E-09   1.712E-05        18-1      750.00
          18     1250.00       WINDX   LinStatic        0.00   7.607E-09  -1.819E-12   9.728E-07   2.274E-09   1.331E-05        18-1     1250.00
          18     1750.00       WINDX   LinStatic        0.00   7.607E-09  -1.819E-12   9.728E-07   3.183E-09   9.509E-06        18-1     1750.00
          18     2250.00       WINDX   LinStatic        0.00   7.607E-09  -1.819E-12   9.728E-07   4.093E-09   5.705E-06        18-1     2250.00
          18     2750.00       WINDX   LinStatic        0.00   7.607E-09  -1.819E-12   9.728E-07   5.002E-09   1.902E-06        18-1     2750.00
          18     3250.00       WINDX   LinStatic        0.00   7.607E-09  -1.819E-12   9.728E-07   5.912E-09  -1.902E-06        18-1     3250.00
          18     3750.00       WINDX   LinStatic        0.00   7.607E-09  -1.819E-12   9.728E-07   6.821E-09  -5.705E-06        18-1     3750.00
          18     4250.00       WINDX   LinStatic        0.00   7.607E-09  -1.819E-12   9.728E-07   7.731E-09  -9.509E-06        18-1     4250.00
          18     4750.00       WINDX   LinStatic        0.00   7.607E-09  -1.819E-12   9.728E-07   8.640E-09  -1.331E-05        18-1     4750.00
          18     5250.00       WINDX   LinStatic        0.00   7.607E-09  -1.819E-12   9.728E-07   9.550E-09  -1.712E-05        18-1     5250.00
          18     5750.00       WINDX   LinStatic        0.00   7.607E-09  -1.819E-12   9.728E-07   1.046E-08  -2.092E-05        18-1     5750.00
          18      250.00       WINDY   LinStatic        0.00     3633.78        0.00    -2197.49        0.00  9992892.26        18-1      250.00
          18      750.00       WINDY   LinStatic        0.00     3633.78        0.00    -2197.49        0.00  8176002.76        18-1      750.00
          18     1250.00       WINDY   LinStatic        0.00     3633.78        0.00    -2197.49        0.00  6359113.26        18-1     1250.00
          18     1750.00       WINDY   LinStatic        0.00     3633.78        0.00    -2197.49        0.00  4542223.76        18-1     1750.00
          18     2250.00       WINDY   LinStatic        0.00     3633.78        0.00    -2197.49        0.00  2725334.25        18-1     2250.00
          18     2750.00       WINDY   LinStatic        0.00     3633.78        0.00    -2197.49        0.00   908444.75        18-1     2750.00
          18     3250.00       WINDY   LinStatic        0.00     3633.78        0.00    -2197.49        0.00  -908444.75        18-1     3250.00
          18     3750.00       WINDY   LinStatic        0.00     3633.78        0.00    -2197.49        0.00 -2725334.25        18-1     3750.00
          18     4250.00       WINDY   LinStatic        0.00     3633.78        0.00    -2197.49        0.00 -4542223.76        18-1     4250.00
          18     4750.00       WINDY   LinStatic        0.00     3633.78        0.00    -2197.49        0.00 -6359113.26        18-1     4750.00
          18     5250.00       WINDY   LinStatic        0.00     3633.78        0.00    -2197.49        0.00 -8176002.76        18-1     5250.00
          18     5750.00       WINDY   LinStatic        0.00     3633.78        0.00    -2197.49        0.00 -9992892.26        18-1     5750.00
          19      250.00        DEAD   LinStatic        0.00   -20991.50        0.00  -468444.78        0.00 -18089308.0        19-1      250.00
          19      750.00        DEAD   LinStatic        0.00   -18467.30        0.00  -468444.78        0.00 -8158699.42        19-1      750.00
          19     1250.00        DEAD   LinStatic        0.00   -14559.03        0.00  -468444.78        0.00   130836.48        19-1     1250.00
          19     1750.00        DEAD   LinStatic        0.00   -10453.03        0.00  -468444.78        0.00  6383849.52        19-1     1750.00
          19     2250.00        DEAD   LinStatic        0.00    -6347.03        0.00  -468444.78        0.00 10583862.58        19-1     2250.00
          19     2750.00        DEAD   LinStatic        0.00    -2241.03        0.00  -468444.78        0.00 12730875.65        19-1     2750.00
          19     3250.00        DEAD   LinStatic        0.00     1864.97        0.00  -468444.78        0.00 12824888.73        19-1     3250.00
          19     3750.00        DEAD   LinStatic        0.00     5970.97        0.00  -468444.78        0.00 10865901.84        19-1     3750.00
          19     4250.00        DEAD   LinStatic        0.00    10076.97        0.00  -468444.78        0.00  6853914.96        19-1     4250.00
          19     4750.00        DEAD   LinStatic        0.00    14182.97        0.00  -468444.78        0.00   788928.09        19-1     4750.00
          19     5250.00        DEAD   LinStatic        0.00    18091.25        0.00  -468444.78        0.00 -7312581.65        19-1     5250.00
          19     5750.00        DEAD   LinStatic        0.00    20615.45        0.00  -468444.78        0.00 -17055164.2        19-1     5750.00
          19      250.00        LIVE   LinStatic        0.00    -4977.33        0.00  -129084.85        0.00 -4356892.78        19-1      250.00
          19      750.00        LIVE   LinStatic        0.00    -4477.33        0.00  -129084.85        0.00 -1972393.01        19-1      750.00
          19     1250.00        LIVE   LinStatic        0.00    -3539.83        0.00  -129084.85        0.00    42315.16        19-1     1250.00
          19     1750.00        LIVE   LinStatic        0.00    -2539.83        0.00  -129084.85        0.00  1562231.67        19-1     1750.00
          19     2250.00        LIVE   LinStatic        0.00    -1539.83        0.00  -129084.85        0.00  2582148.18        19-1     2250.00
          19     2750.00        LIVE   LinStatic        0.00     -539.83        0.00  -129084.85        0.00  3102064.70        19-1     2750.00
          19     3250.00        LIVE   LinStatic        0.00      460.17        0.00  -129084.85        0.00  3121981.21        19-1     3250.00
